scope,entry_edge,exit_edge,window_begin,window_end,valid_count,vehicle_count,flow_count,vehicle_delta,flow_delta,status
od,E2J,J2E,,,1,1,1,0,0,OK
od,E2J,J2N,,,33,33,33,0,0,OK
od,E2J,J2S,,,11,11,11,0,0,OK
od,E2J,J2W,,,58,58,58,0,0,OK
od,N2J,J2E,,,23,23,23,0,0,OK
od,N2J,J2N,,,2,2,2,0,0,OK
od,N2J,J2S,,,91,91,91,0,0,OK
od,N2J,J2W,,,5,5,5,0,0,OK
od,S2J,J2E,,,18,18,18,0,0,OK
od,S2J,J2N,,,71,71,71,0,0,OK
od,S2J,J2S,,,2,2,2,0,0,OK
od,S2J,J2W,,,5,5,5,0,0,OK
od,W2J,J2E,,,27,27,27,0,0,OK
od,W2J,J2N,,,5,5,5,0,0,OK
od,W2J,J2S,,,3,3,3,0,0,OK
time_window,,,0.00,60.00,31,31,31,0,0,OK
time_window,,,60.00,120.00,28,28,28,0,0,OK
time_window,,,120.00,180.00,32,32,32,0,0,OK
time_window,,,180.00,240.00,31,31,31,0,0,OK
time_window,,,240.00,300.00,27,27,27,0,0,OK
time_window,,,300.00,360.00,35,35,35,0,0,OK
time_window,,,360.00,420.00,18,18,18,0,0,OK
time_window,,,420.00,480.00,37,37,37,0,0,OK
time_window,,,480.00,540.00,28,28,28,0,0,OK
time_window,,,540.00,600.00,23,23,23,0,0,OK
time_window,,,600.00,660.00,24,24,24,0,0,OK
time_window,,,660.00,720.00,21,21,21,0,0,OK
time_window,,,720.00,780.00,19,19,19,0,0,OK
time_window,,,780.00,840.00,1,1,1,0,0,OK
od_time_window,E2J,J2E,420.00,480.00,1,1,1,0,0,OK
od_time_window,E2J,J2N,0.00,60.00,3,3,3,0,0,OK
od_time_window,E2J,J2N,60.00,120.00,2,2,2,0,0,OK
od_time_window,E2J,J2N,120.00,180.00,3,3,3,0,0,OK
od_time_window,E2J,J2N,240.00,300.00,4,4,4,0,0,OK
od_time_window,E2J,J2N,300.00,360.00,3,3,3,0,0,OK
od_time_window,E2J,J2N,420.00,480.00,6,6,6,0,0,OK
od_time_window,E2J,J2N,480.00,540.00,2,2,2,0,0,OK
od_time_window,E2J,J2N,540.00,600.00,2,2,2,0,0,OK
od_time_window,E2J,J2N,600.00,660.00,3,3,3,0,0,OK
od_time_window,E2J,J2N,660.00,720.00,2,2,2,0,0,OK
