row_number,vehicle_id,semantic_id,category,errors,detail_reason,entry_edge,exit_edge,observed_event_time,entry_time,exit_time
6,lv_0005,5,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,0.00,,15.12
7,lv_0006,6,missing_exit,missing_exit,missing_exit_edge,N2J,,0.14,-3.72,
12,lv_0014,14,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,12.68,,
14,lv_0017,17,missing_exit,missing_exit,missing_exit_edge,E2J,,14.12,0.05,
15,lv_0019,19,missing_exit,missing_exit,missing_exit_edge,E2J,,14.64,11.54,
16,lv_0021,21,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,15.58,,43.57
17,lv_0024,24,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,17.74,,26.55
18,lv_0025,25,missing_exit,missing_exit,missing_exit_edge,W2J,,18.46,7.03,
19,lv_0026,26,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,20.02,,25.54
20,lv_0027,27,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,20.22,,14.22
21,lv_0028,28,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,21.34,,25.33
27,lv_0035,35,missing_exit,missing_exit,missing_exit_edge,E2J,,26.16,19.52,
30,lv_0038,38,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2E,28.76,,32.71
35,lv_0044,44,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,30.92,,
39,lv_0050,50,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,35.04,,
41,lv_0053,53,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2E,36.80,,40.12
48,lv_0060,60,missing_exit,missing_exit,missing_exit_edge,S2J,,47.62,28.15,
51,lv_0064,64,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,64.38,,83.97
