category,entry_edge,exit_edge,observed_time_bin_start,count
missing_exit,E2J,<missing>,0.00,3
missing_exit,E2J,<missing>,120.00,1
missing_exit,E2J,<missing>,180.00,1
missing_exit,E2J,<missing>,300.00,1
missing_exit,E2J,<missing>,480.00,1
missing_exit,E2J,<missing>,60.00,1
missing_exit,E2J,<missing>,600.00,1
missing_exit,N2J,<missing>,0.00,1
missing_exit,N2J,<missing>,180.00,1
missing_exit,N2J,<missing>,300.00,1
missing_exit,N2J,<missing>,360.00,1
missing_exit,N2J,<missing>,420.00,4
missing_exit,N2J,<missing>,480.00,1
missing_exit,N2J,<missing>,600.00,4
missing_exit,N2J,<missing>,720.00,1
missing_exit,S2J,<missing>,0.00,1
missing_exit,S2J,<missing>,120.00,1
missing_exit,S2J,<missing>,240.00,2
missing_exit,S2J,<missing>,300.00,1
missing_exit,S2J,<missing>,360.00,1
missing_exit,S2J,<missing>,600.00,1
missing_exit,S2J,<missing>,720.00,2
missing_exit,W2J,<missing>,0.00,1
missing_exit,W2J,<missing>,240.00,2
missing_exit,W2J,<missing>,300.00,1
missing_exit,W2J,<missing>,360.00,1
missing_exit,W2J,<missing>,420.00,1
missing_exit,W2J,<missing>,540.00,2
missing_exit,W2J,<missing>,60.00,1
missing_exit,W2J,<missing>,720.00,2
multiple_errors,<missing>,<missing>,0.00,3
multiple_errors,<missing>,<missing>,120.00,6
multiple_errors,<missing>,<missing>,180.00,7
multiple_errors,<missing>,<missing>,240.00,8
multiple_errors,<missing>,<missing>,300.00,3
multiple_errors,<missing>,<missing>,360.00,6
multiple_errors,<missing>,<missing>,420.00,7
multiple_errors,<missing>,<missing>,480.00,1
multiple_errors,<missing>,<missing>,540.00,3
multiple_errors,<missing>,<missing>,60.00,8
multiple_errors,<missing>,<missing>,600.00,5
multiple_errors,<missing>,<missing>,660.00,9
multiple_errors,<missing>,<missing>,720.00,9
multiple_errors,<missing>,J2E,0.00,2
multiple_errors,<missing>,J2E,360.00,1
multiple_errors,<missing>,J2E,420.00,1
multiple_errors,<missing>,J2N,0.00,4
multiple_errors,<missing>,J2N,180.00,1
multiple_errors,<missing>,J2N,420.00,3
multiple_errors,<missing>,J2N,60.00,5
multiple_errors,<missing>,J2S,120.00,1
multiple_errors,<missing>,J2S,180.00,3
multiple_errors,<missing>,J2S,300.00,2
multiple_errors,<missing>,J2S,480.00,1
multiple_errors,<missing>,J2S,540.00,2
multiple_errors,<missing>,J2S,60.00,2
multiple_errors,<missing>,J2S,600.00,2
multiple_errors,<missing>,J2S,660.00,3
multiple_errors,<missing>,J2W,0.00,2
multiple_errors,<missing>,J2W,120.00,4
multiple_errors,<missing>,J2W,180.00,1
multiple_errors,<missing>,J2W,480.00,6
multiple_errors,<missing>,J2W,600.00,1
