vehicle_id,semantic_id,observed_event_time,depart,entry,exit,entry_edge,exit_edge,depart_lane,arrival_lane,entry_time,exit_time,entry_phase,exit_phase,entry_in_ew_green,exit_in_ew_green
lv_0001,1,0.00,,北进,东出,N2J,J2E,,,0.35,14.13,,,,
lv_0002,2,0.00,,北进,东出,N2J,J2E,,,-3.94,11.76,,,,
lv_0003,3,0.00,,东进,北出,E2J,J2N,,,-5.85,6.23,,,,
lv_0004,4,0.00,,西进,东出,W2J,J2E,,,24.60,34.96,,,,
lv_0005,5,0.00,,,西出,,J2W,,,,15.12,,,,
lv_0006,6,0.14,,北进,,N2J,,,,-3.72,,,,,
lv_0007,7,0.20,,东进,北出,E2J,J2N,,,0.57,8.09,,,,
lv_0008,8,4.92,,北进,东出,N2J,J2E,,,8.17,16.32,,,,
lv_0010,10,10.74,,北进,南出,N2J,J2S,,,1.27,20.82,,,,
lv_0011,11,11.34,,北进,南出,N2J,J2S,,,7.38,33.33,,,,
lv_0014,14,12.68,,,,,,,,,,,,,
lv_0016,16,13.56,,东进,西出,E2J,J2W,,,-6.52,15.05,,,,
lv_0017,17,14.12,,东进,,E2J,,,,0.05,,,,,
lv_0019,19,14.64,,东进,,E2J,,,,11.54,,,,,
lv_0021,21,15.58,,,北出,,J2N,,,,43.57,,,,
lv_0024,24,17.74,,,北出,,J2N,,,,26.55,,,,
lv_0025,25,18.46,,西进,,W2J,,,,7.03,,,,,
lv_0026,26,20.02,,,北出,,J2N,,,,25.54,,,,
lv_0027,27,20.22,,,西出,,J2W,,,,14.22,,,,
lv_0028,28,21.34,,,北出,,J2N,,,,25.33,,,,
lv_0030,30,23.38,,北进,南出,N2J,J2S,,,9.67,20.78,,,,
lv_0031,31,23.52,,北进,南出,N2J,J2S,,,32.34,53.09,,,,
lv_0032,32,23.88,,东进,西出,E2J,J2W,,,24.49,30.25,,,,
lv_0033,33,23.90,,东进,西出,E2J,J2W,,,24.77,32.32,,,,
lv_0034,34,25.92,,东进,西出,E2J,J2W,,,26.56,33.90,,,,
lv_0035,35,26.16,,东进,,E2J,,,,19.52,,,,,
lv_0036,36,27.34,,北进,南出,N2J,J2S,,,31.58,50.17,,,,
lv_0037,37,27.68,,西进,东出,W2J,J2E,,,30.48,37.24,,,,
lv_0038,38,28.76,,,东出,,J2E,,,,32.71,,,,
lv_0039,39,28.88,,东进,西出,E2J,J2W,,,29.67,36.96,,,,
lv_0040,40,28.98,,北进,南出,N2J,J2S,,,31.83,50.43,,,,
lv_0041,41,29.28,,西进,东出,W2J,J2E,,,27.76,39.71,,,,
lv_0042,42,30.12,,东进,北出,E2J,J2N,,,30.55,37.19,,,,
lv_0044,44,30.92,,,,,,,,,,,,,
lv_0045,45,31.62,,西进,东出,W2J,J2E,,,35.61,43.60,,,,
lv_0047,47,32.42,,东进,西出,E2J,J2W,,,32.98,39.69,,,,
lv_0048,48,32.54,,东进,西出,E2J,J2W,,,32.98,38.51,,,,
lv_0050,50,35.04,,,,,,,,,,,,,
lv_0051,51,35.20,,东进,西出,E2J,J2W,,,35.94,44.40,,,,
lv_0053,53,36.80,,,东出,,J2E,,,,40.12,,,,
lv_0054,54,36.92,,南进,西出,S2J,J2W,,,28.43,45.97,,,,
lv_0055,55,42.40,,北进,南出,N2J,J2S,,,47.75,93.89,,,,
lv_0056,56,42.64,,北进,西出,N2J,J2W,,,46.68,55.65,,,,
lv_0057,57,46.46,,西进,东出,W2J,J2E,,,50.21,57.39,,,,
lv_0058,58,46.48,,东进,西出,E2J,J2W,,,23.30,42.70,,,,
lv_0059,59,46.76,,西进,东出,W2J,J2E,,,49.72,55.76,,,,
lv_0060,60,47.62,,南进,,S2J,,,,28.15,,,,,
lv_0061,61,62.10,,西进,东出,W2J,J2E,,,83.39,153.86,,,,
lv_0062,62,62.84,,东进,南出,E2J,J2S,,,64.37,74.91,,,,
lv_0064,64,64.38,,,北出,,J2N,,,,83.97,,,,
lv_0066,66,65.60,,东进,南出,E2J,J2S,,,66.70,76.21,,,,
lv_0067,67,65.62,,东进,西出,E2J,J2W,,,47.04,62.67,,,,
lv_0069,69,68.00,,北进,南出,N2J,J2S,,,74.51,89.41,,,,
lv_0070,70,69.22,,北进,南出,N2J,J2S,,,74.24,86.71,,,,
lv_0071,71,69.58,,东进,南出,E2J,J2S,,,70.70,80.30,,,,
lv_0073,73,71.06,,北进,南出,N2J,J2S,,,75.35,85.72,,,,
lv_0074,74,71.34,,北进,南出,N2J,J2S,,,74.07,93.93,,,,
lv_0075,75,73.24,,东进,西出,E2J,J2W,,,59.54,74.80,,,,
lv_0076,76,74.60,,,,,,,,,,,,,
lv_0077,77,75.24,,,,,,,,,,,,,
